src,dst,rel,source_resource,evidence_class
EnzymeEC:1.1.1.28,Compound:2-oxoisovalerate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.28,Compound:NADH,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.28,Compound:2-oxocaproate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.28,Compound:Hydroxypyruvate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.28,Compound:2-oxoisocaproate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.28,Compound:2-oxobutyrate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.28,Compound:2-oxovalerate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.28,Compound:glyoxylate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.28,Compound:oxaloacetate,has_kinetic_substrate,SKiD,real_evidence
Protein:Q9I530,EnzymeEC:1.1.1.28,annotated_as_ec,SKiD,real_evidence
Protein:Q5JFV8,EnzymeEC:1.1.1.286,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.286,Compound:homoisocitrate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.286,Compound:3-isopropylmalate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.286,Compound:isocitrate,has_kinetic_substrate,SKiD,real_evidence
Protein:O58802,EnzymeEC:1.1.1.3,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.3,Compound:NAD+,has_kinetic_substrate,SKiD,real_evidence
Protein:Q5SL04,EnzymeEC:1.1.1.3,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.3,Compound:NADP+,has_kinetic_substrate,SKiD,real_evidence
Protein:D0VWQ0,EnzymeEC:1.1.1.30,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.30,Compound:levulinic_acid,has_kinetic_substrate,SKiD,real_evidence
Protein:Q5KST5,EnzymeEC:1.1.1.30,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.30,Compound:acetoacetate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.30,Compound:D-3-hydroxybutyrate,has_kinetic_substrate,SKiD,real_evidence
Protein:P9WNY5,EnzymeEC:1.1.1.31,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.31,Compound:NADP+,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.31,Compound:3-hydroxypropanoic_acid,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.31,Compound:(R)-3-hydroxyisobutyrate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.31,Compound:L-serine,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.31,Compound:NAD+,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.31,Compound:(S)-3-hydroxyisobutyrate,has_kinetic_substrate,SKiD,real_evidence
